Company Name,Description,Area,Reasoning,Company Domain,Company Description,Company Year Founded,Company Website,Company Number of Employees,Company Revenue,Company linkedin URL,Total Funding Amount,Total Number of Rounds,Last Round/Event Amount,Last Round/Event Type,Last Round/Event Date,IPO Status,Company Main Industry,Company Sub Industry,Company SIC (Standard Industrial Classification),Company NAIC (North American Industry Classification),Company Specialties,Company Continent,Company Country,Company City,Company Country ISO
Clarity,Decision intelligence platform,AI reducing information asymmetry,Decision intelligence platform,getclarity.ai,"Clarity is an AI cybersecurity startup that protects leading organizations against deepfake vectors accelerated by the rapid adoption of Generative AI, namely hiring fraud. Its patent-pending technology detects AI manipulations throughout the hiring process by analyzing candidate profiles, video interviews, and each applicant's identity - ensuring that you never hire a fraud candidate.",2022.0,https://getclarity.ai,11-50,,https://www.linkedin.com/company/getclarity-ai,$16M,2.0,16000000.0,Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"artificial intelligent, cyber, deepfakes, software, synthetic media",Asia,Israel,Tel Aviv,IL
STOREE.AI,AI retail-intelligence platform,AI applied to traditional industries,AI retail-intelligence platform,storee.ai,"STOREE.AI is a cloud-native B2B SaaS platform that outperforms any workforce management tool on the market. Why? Because it’s a data-driven, all-in-one store management solution that uses AI to keep your team performing at their best — fully aligned with your brand’s values, aspirations, and unique DNA.",2018.0,https://storee.ai,11-50,,https://www.linkedin.com/company/storee-ai,$13M,5.0,8000000.0,Seed Round,2017-01-10,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
SeismicAI,Earthquake early-warning analytics,AI applied to traditional industries,Earthquake early-warning analytics,seismicai.com,"SeismicAI develops real-time #earthquake early warning systems (EEW) based on real-time #seismology and AI. SeismicAI solutions ensure business continuity, damage mitigation and #disaster preparedness. They can reduce 50% of the nonstructural damage caused by #earthquakes, for businesses and public organizations.

Leveraging proprietary seismic algorithms, our #EEW system covers the full earthquake early warning cycle – from monitoring and reporting, through alerts, to triggering automated preventive actions. 

SeismicAI emergency #alert system is deployed worldwide. The company partners with various universities, research institutes and civil organizations to save lives and infrastructure. Its technology was developed by leading seismology and business experts worldwide.",2014.0,https://seismicai.com,11-50,,https://www.linkedin.com/company/seismicai,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"artificial intelligent, disaster management, disaster preparedness, earthquake early warning, earthquake early warning system, earthquake engineering, emergency alert systems, emergency preparedness, hsa, machine learning, neural networks, seismology, servo, tsunami early warning",Asia,Israel,Tel Aviv,IL
SeismicAI,Earthquake early warning system using AI,AI reducing information asymmetry / AI for traditional industries,Predicts earthquakes using geophysical data,seismicai.com,"SeismicAI develops real-time #earthquake early warning systems (EEW) based on real-time #seismology and AI. SeismicAI solutions ensure business continuity, damage mitigation and #disaster preparedness. They can reduce 50% of the nonstructural damage caused by #earthquakes, for businesses and public organizations.

Leveraging proprietary seismic algorithms, our #EEW system covers the full earthquake early warning cycle – from monitoring and reporting, through alerts, to triggering automated preventive actions. 

SeismicAI emergency #alert system is deployed worldwide. The company partners with various universities, research institutes and civil organizations to save lives and infrastructure. Its technology was developed by leading seismology and business experts worldwide.",2014.0,https://seismicai.com,11-50,,https://www.linkedin.com/company/seismicai,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"artificial intelligent, disaster management, disaster preparedness, earthquake early warning, earthquake early warning system, earthquake engineering, emergency alert systems, emergency preparedness, hsa, machine learning, neural networks, seismology, servo, tsunami early warning",Asia,Israel,Tel Aviv,IL
Presenso,Predictive maintenance for industrial machines,AI reducing information asymmetry / AI for traditional industries,Predictive analytics for industrial maintenance,,,,,,,,,,,,,,,,,,,,,,
ParKam,Smart parking guidance and enforcement,AI reducing information asymmetry / AI for traditional industries,AI parking management system,parkam-ip.com,"ParKam was formed to disrupt the parking industry and deliver a unique, ground-breaking, holistic solution to resolve the acute ever-growing problem of parking in large parking complexes and busy metro areas.

While numerous companies are specializing in one aspect of the parking solution, ParKam already offers a holistic, fully automated, 100% accurate, patent solution, second to none.

Our unique, innovative, holistic solution is based on Real Time Image Processing. To find the best available parking spot we use our innovative proprietary algorithms, which process footage from cameras that are already installed or will be installed by ParKam where necessary. 

Unlike other solutions, we only need one simple camera for up to 100 parking spots.

ParKam is the only completely independent, fully automated working parking application in the market, which does not rely on users for crowd sourcing solutions.

Using ParKam, drivers are guaranteed to always arrive to an available parking spot.",2014.0,https://parkam-ip.com,11-50,,https://www.linkedin.com/company/parkam,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"artificial intelligent, computer vision, smart cities, smart mobility",Asia,Israel,Tel Aviv,IL
MaterialsZone,Materials discovery and data platform,AI reducing information asymmetry / AI for traditional industries,AI-driven materials science platform,,,,,,,,,,,,,,,,,,,,,,
insoundz,AI audio separation technology,AI reducing information asymmetry,Isolates voices in noisy environments,insoundz.com,"insoundz is a leader in AI-driven enterprise audio solutions, providing customized, scalable models through its GenAI Audio Factory to address challenges like voice enhancement, noise removal, and stem separation. Utilizing automated, data-optimized technology, insoundz delivers real-time and ubiquitous audio solutions that seamlessly integrate across industries, enhancing communications, streaming, and media. By empowering businesses to efficiently scale their audio capabilities via cloud and edge SDKs, insoundz drives success with secure, high-quality audio tailored to meet diverse needs.",2016.0,https://insoundz.com,11-50,$50M - $100M,https://www.linkedin.com/company/insoundz,$19.4M,6.0,5000000.0,Funding Round,2021-06-01,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"3d audio, artificial intelligence agents, artificial intelligence solutions, audio, audio design, audio software, augmented reality, broadcast, content creation, media and entertainment, software services, virtual reality, voice artificial intelligence",Asia,Israel,Tel Aviv,IL
Greeneye Technology,AI weed detection for precision spraying,AI reducing information asymmetry / AI for traditional industries,Selective spraying in agriculture using AI,greeneye.ag,"Greeneye provides an alternative and sustainable solution for the current crop protection practice in order to meet the globally growing demand for food while increasing the profitability and productivity for farmers.

Greeneye utilizes artificial intelligence and deep learning technology to revolutionize the pest control process in agriculture, transitioning from the current practice of broadcast and wasteful spraying of pesticides to precise spraying in real-time.

Greeneye’s proprietary selective spraying (SPP) system turns every sprayer into a smart machine with seamless integration, our solution enables farmers to save up to 90% of their chemical cost.
In addition to the substantial savings, we also capture and analyze sub-mm images from the field, providing farmers with the deepest insight in their field.

The next revolution in agriculture will be based on technology and precision agriculture. Today, farmers around the world are exposed to countless solutions and technologies that aim to recommend how to increase their productivity. We think that the next step is to transition from a recommendation to a decision-based solution.

Greeneye is a leading technology company with a focus on precision agriculture, established in 2017 and based in Tel-Aviv, Israel. Greeneye has a multidisciplinary team with expertise in computer vision, artificial intelligence, agronomy, mechanical engineering, spraying applications, etc. We work with an extraordinary group of talented and visionary people who are committed to providing sustainable solutions for farmers around the world. Greeneye is backed by world-renowned investors, the last round of financing was led by JVP and Syngenta venture.",2017.0,https://greeneye.ag,11-50,$10M - $50M,https://www.linkedin.com/company/greeneye-technology,$51M,7.0,,Corporate Round,2024-04-17,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
Top XR,Mixed-reality solutions for training and design,New physical capabilities / AI reducing information asymmetry,XR solutions for industry,,,,,,,,,,,,,,,,,,,,,,
Virtuoptica,VR optical tech platform,New physical capabilities / AI reducing information asymmetry,VR and AR optical solutions,virtuoptica.com,"Our core capabilities combine brain science, software engineering, and signal processing, to bring eye examination to the next level. Thanks to a patented gamified workflow, Virtuoptica offers a compelling platform to engage the patients in vision assessments.",2017.0,https://virtuoptica.com,1-10,,https://www.linkedin.com/company/virtuoptica,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Karmi’el,IL
Clair Labs,Non-contact vital signs sensor,AI reducing information asymmetry / New physical capabilities,Contactless health monitoring,clairlabs.com,"Clair Labs is shaping the future of proactive healthcare with its novel contact-free vitals sensing technology.
Based on breakthrough deep learning, computer vision and product design we build the holy grail of seamless monitoring.
We envision wide adoption of our medical-grade technology in domains such as sleep disorder diagnosis, at-home pediatric care, chronic disease management, post-discharge patient monitoring and more.",2017.0,https://clairlabs.com,1-10,,https://www.linkedin.com/company/clair-labs,$9M,3.0,,Non Equity Assistance,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
Tupaia Positioning Solutions,Indoor positioning system for logistics,New physical capabilities / AI for traditional industries,Indoor positioning solutions,tupaia-pos.com,"Tupaia introduces a new paradigm in precise positioning through cutting-edge cloud service.

Tupaia's technology enables centimeter-level accuracy and addresses the increasing demand for accurate positioning in various markets such as IoT, automotive, mobile, robotics, fleets, logistics, and more. 

Our service significantly enhances GNSS receivers' performance, including in the most challenging environments such as densely populated urban areas.",2020.0,https://tupaia-pos.com,1-10,$250M - $500M,https://www.linkedin.com/company/tupaia-pos,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
InnerEye,Medical imaging segmentation AI,AI reducing information asymmetry,AI segmentation for radiology,innereye.ai,"InnerEye combines human expertise with AI, creating Minded A.I. By transferring human intelligence to AI models, InnerEye supercharges AI applicability, reliability, and decision-making, enhancing organizational performance and trust.",2014.0,https://innereye.ai,11-50,,https://www.linkedin.com/company/innereye,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"artificial intelligent, brain computer interface, cognitive neuroscience, computer vision, deep learning, machine learning",Asia,Israel,Herzliya,IL
Voiceitt,Speech recognition for non-standard speech,AI reducing information asymmetry / New physical capabilities,Translates non-standard speech for accessibility,voiceitt.com,"Join us in building the next-generation voice technology for people with non-standard speech, so they can communicate, be understood, and have a voice.
#speechrecognition #voiceAI #accessibilitymatters 

Voiceitt is an award-winning speech recognition startup and social enterprise that has developed a proprietary automatic speech recognition (ASR) technology that translates non-standard speech patterns into clear speech in real-time. This technology enables children and adults with speech impairments, accented English, or aging voices to access mainstream voice-activated technologies and devices.  

The Israel-based software company is now expanding its business operations in the US Northeast. 

Demo: https://vimeo.com/88557645",2012.0,https://voiceitt.com,11-50,$10M - $50M,https://www.linkedin.com/company/voiceitt,$15.2M,9.0,10000000.0,Series A,2022-12-02,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,513210 Software Publishers,,Asia,Israel,Ramat Gan,IL
PxE Holographic Imaging,Holographic imaging for diagnostics,New physical capabilities / AI reducing information asymmetry,Holographic imaging technology,pxeimaging.com,"PxE Holographic Imaging has developed a full-stack perception solution, a ground-breaking combination of HW and SW that is deployable to any platform.
It consists of a HoloCoder-enabled camera that sees more information (RGB-IR-Depth) coupled to PxE’s lightning-fast algo for building an accurate model of the world.

Backed by top venture firms, PxE is already working with leading companies to ensure that their products enjoy PxE’s exceptional perception advantage.

We are growing our team, and call highly talented individuals to join our journey in revolutionizing digital imaging and sensing.",,https://pxeimaging.com,1-10,,https://www.linkedin.com/company/pxe-holographic-imaging,$5.4M,3.0,5400000.0,Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Reẖovot,IL
BWith AI,Conversational AI knowledge platform,AI reducing information asymmetry,AI platform for knowledge management,bwith.ai,"BWith lets employees select the people they want to be in the office with for making their work more effective and for having a more pleasant time at the office.

It then builds a schedule for every employee in the company, taking into account employee time constraints, manager requirements, office capacity and company policies. 

The result is a tailored schedule, maximizing each employee’s office overlap with the people most important to them.",2021.0,https://bwith.ai,1-10,,https://www.linkedin.com/company/bwith-ai,$1M,1.0,1000000.0,Pre Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,,IL
AIVF,AI decision support for IVF treatments,AI reducing information asymmetry,AI platform for IVF embryo selection,aivf.co,"AIVF is the leader in a new generation of AI-powered IVF clinics. Our proprietary suite of solutions offers a unique set of tools for digitization and automation of the IVF clinic, helping patients on a smoother, quicker and more accessible path to parenthood.

We are a multidisciplinary team of physicians, embryologists, and computer vision, machine learning and AI experts leading the next generation of IVF.",2018.0,https://aivf.co,11-50,,https://www.linkedin.com/company/aivf,$25M,1.0,25000000.0,Series A,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"algorithms, artificial intelligent, embryology, fertility treatment, ivf",Asia,Israel,Tel Aviv,IL
CASTOR,AI-driven analysis of CAD files for 3D printing,AI reducing information asymmetry / New physical capabilities,Identifies parts suitable for additive manufacturing,3dcastor.com,"CASTOR is an automated 3D printing software enabling manufacturers to identify cost reduction opportunities, utilizing the benefits of industrial 3D printing. The software analyzes thousands of parts at once and provides deep technical analysis for a full machine design while identifying cost reduction opportunities and suggesting geometry changes to the part's design. It estimates the cost and lead-time for each part and connects the manufacturer to a service bureau that can print and supply the part according to requirements. CASTOR's easy-to-customize software helps manufacturers find profitability within 3D printing, fitting their needs like a glove. 


Visit our website to learn more:
www.3dcastor.com",2017.0,https://3dcastor.com,11-50,$50M - $100M,https://www.linkedin.com/company/3dcastor,$5.9M,5.0,,Seed Round,2023-01-19,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,513210 Software Publishers,"3d printing, additive manufacturing, decision support systems, manufacturing",Asia,Israel,Tel Aviv,IL
BlueCircle.ai,Environmental/industrial AI (details unknown),AI reducing information asymmetry / AI for traditional industries,AI solutions for industrial environmental applications,bluecircle.ai,"Food & Beverage industry uses BlueCircle to optimize their unit cost, eliminate waste and maximize opportunities across the value chain in ever-changing climate and market environment. Trellis is leading a new Vertical SaaS/AI category of optimizing a $9 Trillion climate & weather sensitive business operations.",2018.0,https://bluecircle.ai,11-50,,https://www.linkedin.com/company/bluecircleai,,2.0,,Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"agriculture, artificial intelligent, big data, business process optimization, data science, food and beverage, predictive analysis, supply chain optimization",Asia,Israel,Tel Aviv,IL
Purple Lens,AI for visually impaired (assumed),AI reducing information asymmetry,Assistive vision technology,purple-lens.com,"Purple Lens is a web accessibility software solution built for cross platform  websites. Our highly advanced solution will open your website up to hundreds of users who were previously unable to access it. Our SAAS has a variety of features including voice functionality, color contrast, font size adjustment, a virtual keyboard and more.
 
We are a team of entrepreneurs, engineers, web-developers, UX/UI designers and physicians based in Israel dedicated to providing a web accessibility solution to people with disabilities and impairments. We are on a mission to make the internet an environment accessible to everyone. 

Purple Lens is the future of inclusivity and technology services. With our assistive technologies and products, easily implement the plugin onto your site and join us on this journey of creating equal opportunities for all!",2020.0,https://purple-lens.com,1-10,,https://www.linkedin.com/company/purple-lens,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"inclusivity, online tools, plugins, software integration, software services, web accessibility, web design, web development, wordpress",Asia,Israel,Tel Aviv,IL
Logistico,AI platform for logistics optimisation,AI reducing information asymmetry / AI for traditional industries,Optimises last-mile logistics,logistico.co.il,"אנו מקימים פרוייקטים במגוון תחומים ומחברים בין אנשי מקצוע ליצירת מוצר טוב יותר, 
מהקמת אפיון מוצר עד מוצר סופי אנחנו פה איתכם לאורך כל הדרך,
אנו נקים לכם אפליקציות ואתרים מותאמים ורספונסיביים עם שירותי ייעוץ מהטובים ביותר 
הקמה ניהול ותחזוק מסדי נתונים ושרתים מכל התחומים 
אינטגרציה של מערכות חיציות הכוללות שרתים, שירותי אשראי, שירותי אסמס ועוד...",2017.0,https://logistico.co.il,1-10,,https://www.linkedin.com/company/logistico-co-il,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"android apps, electronic commerce websites, facebook, google, instagram, landing pages, pay per click management, scom, whatsapp, youtube channel",Asia,Israel,Ashkelon,IL
Probuild,AI solution for construction management,AI reducing information asymmetry / AI for traditional industries,Construction operations platform,probuild.es,Project management and ERP for large scale construction projects.,,https://probuild.es,11-50,$250M - $500M,https://www.linkedin.com/company/probuild-system,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Petaẖ Tiqva,IL
Pisga MES Solutions,Manufacturing execution system with AI,AI for traditional industries,MES solution with AI optimisation,pisgasys.co.il,Pisga MES Solutions,1997.0,https://pisgasys.co.il,11-50,,https://www.linkedin.com/company/pisga-it-solutions,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,,IL
Grofit,Sensor-based irrigation and fertigation system,AI for traditional industries / New physical capabilities,Smart agriculture sensors and analytics,,,,,,,,,,,,,,,,,,,,,,
Neolithics,AI for produce classification and grading,AI reducing information asymmetry / AI for traditional industries,Machine vision classification for agri produce,neolithics.ai,"Neolithics is at the forefront of revolutionizing the fresh produce industry through its cutting-edge QC solutions. Our company specializes in providing automated, non-destructive produce inspection systems that leverage sophisticated food science, advanced AI, and optical technology. By delivering accurate and consistent inspections of both internal and external characteristics at high volumes, we significantly reduce waste, enable premium pricing, and increase ROI, ensuring that more high-quality fruit reaches the end customer.
Founded with the vision of transforming the way fresh produce is inspected and delivered, our pioneering platform offer unparalleled accuracy and efficiency, setting new standards in the industry for quality control and sustainability. 
Our mission at Neolithics is to turn the fresh value chain inside out by delivering exceptional, AI-enabled inspection solutions that improve food quality, reduce waste, and increase profitability for our clients. We strive to make a meaningful impact on the fresh produce industry, one inspection at a time.",2020.0,https://neolithics.ai,11-50,,https://www.linkedin.com/company/thewolf-ai,$3.7M,1.0,3700000.0,Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"agriculture, agriculture technology, artificial intelligent, automated, food waste, fruits, quality control, software development, software services",Asia,Israel,Tel Aviv,IL
Oriient,Indoor positioning using Earth's magnetic field,New physical capabilities / AI for traditional industries,Indoor GPS via magnetic signatures,oriient.me,"Oriient delivers hyper-accurate indoor location services without the need for additional hardware installations. Our software-only solution ensures seamless indoor navigation across various environments, including malls, megastores, hospitals, universities, and office buildings.

Capture The Value:

• Basket size increase: Preventing lost revenues from unfound items
• Proximity Marketing: Guide shoppers with precision and personalized offers
• Speed Up Operations: Route optimization reduces picking time and saves labor costs 
• Overall sales growth: Boost sales through precise in-store navigation
• Track Assets: Quickly locate lost or valuable items
• Prevent Fraud: Minimize in-store fraudulent activities

Our solution is designed for effortless integration, eliminating the complexities of installation and maintenance. Experience the convenience of GPS-like accuracy indoors and transform your facility into a more accessible and user-friendly environment.",2017.0,https://oriient.me,11-50,$10M - $50M,https://www.linkedin.com/company/oriient,$15.1M,6.0,,Non Equity Assistance,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"analytics, building operations, gamification, indoor gps, indoor navigation, location based marketing, operations optimization, retail, security",Asia,Israel,Tel Aviv,IL
SenseIT,Sensor platform for environmental and industrial monitoring,New physical capabilities / AI for traditional industries,Smart sensor networks,sense-it.io,"SenseIT is an automated testing platform that simulates a user with disabilities. We are changing the way accessibility testing is performed today by introducing continuous accessibility. This approach executes existing functional tests as accessibility tests by integrating into your development process. With SenseIT, continuous accessibility reduces your time spent on accessibility testing, increases the quality of your product's accessibility and reduces your legal risk.",2018.0,https://sense-it.io,1-10,,https://www.linkedin.com/company/senseitaccess,$120k,1.0,120000.0,Pre Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"custom solutions, digital accessibility, inclusion, legal compliance, revenue generation, social, software services, web accessibility",Asia,Israel,Tel Aviv,IL
PickApp Farming,AI & IoT platform for managing orchards,AI for traditional industries,Smart agriculture platform for orchards,pickapp.farm,"PickApp Farming is the world's leading developer of digital farm-activity management solutions. Its flagship product, PickApp, is an all-in-one real-time farm-management SaaS solution.

Farms that use PickApp testify they've been improving their workforce productivity and produce quality, and within a short period of time, increasing their profitability.

At PickApp, our mission is to develop the most reliable and user-friendly data-collection methods and smart-farming tools. And our goal is to allow everyone on the farm to easily make smart data-driven decisions and help the farm-business reach peak performance.

PickApp Farming holds local offices and provides field support in Mexico, Spain, Morocco & Israel.
Global remote support is also available.",2015.0,https://pickapp.farm,11-50,$50M - $100M,https://www.linkedin.com/company/pointer-intelligent-agri-systems-ltd-,,3.0,,Pre Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"activity monitoring, agriculture, agriculture technology, analytics, big data, farm management, greenhouse farming, indoor farming, labor productivity, productivity, real-time data, traceability",Asia,Israel,,IL
Mobile Physics,Smartphone-based health diagnostics,New physical capabilities / AI reducing information asymmetry,Smartphone sensors for health metrics,mobilephysics.com,"Mobile Physics EnviroMeter provides current hyper-local environmental information. 
Real-time environment monitoring enables users to understand their exposure to various conditions and influences their health decisions.

No Extra Hardware, Works Offline, Indoors & Outdoors

MOBILEPHYSICS ENVIROMETER SDK allows app developers to add environmental triggers for apps and devices.

MOBILEPHYSICS ENVIRONMENTAL DATA WAREHOUSE AND INSIGHTS is based on high-resolution environmental database serving decision makers worldwide.


TRACKING ALL ENVIRONMENTAL VARIABLES
Mobile Physics EnviroMeter SDK monitors temperature, wind, precipitation, humidity, air quality,
particles pollution, light intensity, UV exposure and noise levels.” 

ISO17025 CERTIFIED
Mobile Physics measurements were scrutinized and proven to be as accurate as the best state-of-the-art measurement devices.

HYPER-LOCAL ACCURACY
Mobile Physics data is derived from hundred thousand stations per city comparing to a few tens of traditional weather stations that serve other data sources.
Such high density allows high regulation database that covers both indoors and outdoors environment.",2016.0,https://mobilephysics.com,11-50,$50M - $100M,https://www.linkedin.com/company/mobile-physics,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
Verobotics,Robots for skyscraper façade cleaning,New physical capabilities,Autonomous building maintenance robots,verobotics.com,"Verobotics is the first and onlyAutonomous AI-based robotics solution for buildings exterior upkeep, inspection, and maintenance.

Featuring the standard-setting adaptable, reusable, and cost-effective hardware product capable of broad, repeated, and easy deployment.",2021.0,https://verobotics.com,11-50,,https://www.linkedin.com/company/ido-genosar,,1.0,,Non Equity Assistance,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"architecture and engineering, building maintenance, building management, curtains, facades, facility management, green building, internet of things platform, maintenance services, real estate technology, robotics, smart cities",Asia,Israel,Tel Aviv,IL
Tactile Mobility,Road-feel sensing for vehicles,New physical capabilities / AI reducing information asymmetry,Sensing platform for tactile data in vehicles,tactilemobility.com,"Safer, more efficient and enjoyable driving experience, anywhere, anytime – with tactile data.

Feeling the tactility (i.e. dynamics) that is created between a vehicle and the road is key for optimizing safety, user experience, and efficiency, either if a person or a computer drives a vehicle. Tactile Mobility provides smart and autonomous vehicles (AVs) with the missing tactile sensing and data that makes vehicles smarter, roads better, and mobility-ecosystems enhanced.

Solutions
Our tactility-sensing innovation empowers multiple data solutions that maximize safety, user-experience, and driving efficiency in the mobility industry. Already crunched +10,000,000 km, and analyzed +100,000 trips, Tactile Mobility’s platform offers the following value propositions:
- For OEMs - Benefit from the new industry standard in vehicle data. Through our software licensing and data services, OEMs leverage a unique system empowering them to give smart and autonomous vehicles the tactile capacity that augments vision and auditory sensing. The missing sense delivered by Tactile Mobility is central for both smart vehicles (ADAS / level 2-3 AVs) and autonomous vehicles (level 4-5 AVs) alike.
- For mapping companies, road authorities, transport associations, insurers - Benefit from our cloud-based analytics that generates a SurfaceDNA HD map layer of great accuracy and coverage, outlining roadway grades, banking, curvature, and any hazards such as bumps, cracks, and potholes. This level of information is immensely valuable for planned maintenance, real-time hazard detection, post-accident analysis, and more.
- For fleet managers, car manufacturers, part suppliers - Benefit from our hardware and web tool, offering vital information for optimizing fuel consumption, fuel theft detection, route pricing, and preventive maintenance based on our innovative SurfaceDNA and VehicleDNA data models.

For more information go to www.tactilemobility.com or e-mail us at info@tactilemobility.com.",2012.0,https://tactilemobility.com,11-50,$10M - $50M,https://www.linkedin.com/company/tactile-mobility,$36M,3.0,27000000.0,Series C,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"artificial intelligence agents, artificial intelligent, automotive, autonomous driving, autonomous vehicles, big data, fleet management, machine learning, mapping, mobility, odc, sensor fusion, smart cities, technology, transportation",Asia,Israel,Haifa,IL
Mentee Robotics,Humanoid robotics platform,New physical capabilities,Robotics platform for human-like robots,menteebot.com,We build humanoid robots using the latest AI tools.,2022.0,https://menteebot.com,11-50,,https://www.linkedin.com/company/mentee-robotics,$17M,1.0,,,2024-04-17,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Herzliya,IL
Axon Vision,AI/computer vision for defense and automotive,AI reducing information asymmetry / New physical capabilities,AI vision solutions for defense,axon-vision.com,"Founded in 2017, Axon Vision is a leader in AI solutions for the defense industry.

The modern battlefield consists of small targets concealed in an urban area. Additionally, current sensors are flooding the human operator with information.

Our technology boosts the effectiveness and survivability of manned & unmanned platforms by increasing situational awareness, speeding decision-making and enabling autonomous capabilities.

Our products are integrated into military-grade platforms, through partnerships with leading multi-national companies.

We uncover the full and uncompromising potential of AI to solve today’s most critical challenges while leading tomorrow’s AI-powered defense technology.",2017.0,https://axon-vision.com,11-50,$50M - $100M,https://www.linkedin.com/company/axon-vision-ltd,$1.5M,1.0,1500000.0,Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"anomaly detection, artificial intelligent, computer vision, deep learning, defense, drones, edge artificial intelligence, embedded programming, homeland security, iatf, machine learning",Asia,Israel,Tel Aviv,IL
Axis GPS & Advanced mapping,GPS and mapping technologies,New physical capabilities / AI for traditional industries,Advanced mapping and GPS solutions,,,,,,,,,,,,,,,,,,,,,,
3DFY.ai,AI-driven 3D model generation,New physical capabilities / AI reducing information asymmetry,Generates 3D models using AI,3dfy.ai,"3DFY.ai was established with a clear mission: to develop the first  technology that transforms sparse data like images or text-prompts into a realistic three-dimensional world—at scale.
3DFY.ai’s proprietary, AI-powered, 3D generation pipeline was designed according to two main principles: First, as we do not compromise on 3D asset quality, our entire tech stack is designed to produce 3D models adhering to high quality standards, similar to what a modeler would produce. Furthermore, as we know scale matters, we built our technology with automation at its core, so human labor is eliminated, unlocking limitless 3D asset creations.
Our solutions cater for both individual self-expression and business use cases which require mass generation of 3D models, such as generating large tailored 3D datasets of digital items, or creating 3D virtual objects according to textual prompts. All items are high quality, and generated automatically.",,https://3dfy.ai,1-10,,https://www.linkedin.com/company/3d-fy,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Haifa,IL
SkillReal,AR/VR training simulations,New physical capabilities / AI reducing information asymmetry,Mixed reality training platform,skillreal.com,"SkillReal is developing and selling digital twin alignment technology with on screen AR measurement tool, at sub-mm accuracy, targeting the fast growing digital twins market. 
SkillReal’s patent pending technology, developed and designed especially for complex assemblies and manufacturing lines provides a fully operational, accurate & PLM integrated products. 
Among the company’s customers and partners are fortune 100 companies and leading global manufacturers in Automotive, A&D and other industries. The company is engaged in a strategic partnership with Siemens, the global leading provider of 4.0 software solutions, including joint customers & installations worldwide.",2020.0,https://skillreal.com,11-50,,https://www.linkedin.com/company/skillreal,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"augmented reality, digital twin, employee performance, product lifecycle, quality inspection, work instructions",Asia,Israel,Ramat Gan,IL
